0;System;start;0;0
0;Player1;explorer;186.8539;0.1393963
0;Player2;explorer;-189.2427;0.13
0;Player1;pos;186.8539;0.1393963
0;Player2;pos;-189.2427;0.13
0.02;Player1;pos;186.8539;0.1393963
0.02;Player2;pos;-189.2427;0.13
0.1812228;Player1;pos;186.8539;0.1393963
0.1812228;Player2;pos;-189.2427;0.13
0.2432039;Player1;pos;186.8539;0.1393963
0.2432039;Player2;pos;-189.2427;0.13
0.2707467;Player1;pos;186.8539;0.1393963
0.2707467;Player2;pos;-189.2427;0.13
0.2922136;Player1;pos;186.8539;0.1393963
0.2922136;Player2;pos;-189.2427;0.13
0.3120928;Player1;pos;186.8539;0.1393963
0.3120928;Player2;pos;-189.2427;0.13
0.3363388;Player1;pos;186.8539;0.1393963
0.3363388;Player2;pos;-189.2427;0.13
0.362349;Player1;pos;186.8539;0.1393963
0.362349;Player2;pos;-189.2427;0.13
0.3840931;Player1;pos;186.8539;0.1393963
0.3840931;Player2;pos;-189.2427;0.13
0.4065162;Player1;pos;186.8539;0.1393963
0.4065162;Player2;pos;-189.2427;0.13
0.4248167;Player1;pos;186.8539;0.1393963
0.4248167;Player2;pos;-189.2427;0.13
0.4451616;Player1;pos;186.8539;0.1393963
0.4451616;Player2;pos;-189.2427;0.13
0.4618874;Player1;pos;186.8539;0.1393963
0.4618874;Player2;pos;-189.2427;0.13
0.4830482;Player1;pos;186.8539;0.1393963
0.4830482;Player2;pos;-189.2427;0.13
0.4998076;Player1;pos;186.8539;0.1393963
0.4998076;Player2;pos;-189.2427;0.13
0.5140853;Player1;pos;186.8539;0.1393963
0.5140853;Player2;pos;-189.2427;0.13
0.5307272;Player1;pos;186.8539;0.1393963
0.5307272;Player2;pos;-189.2427;0.13
0.5483831;Player1;pos;186.8539;0.1393963
0.5483831;Player2;pos;-189.2427;0.13
0.566669;Player1;pos;186.8539;0.1393963
0.566669;Player2;pos;-189.2427;0.13
0.584225;Player1;pos;186.8539;0.1393963
0.584225;Player2;pos;-189.2427;0.13
0.6020632;Player1;pos;186.8539;0.1393963
0.6020632;Player2;pos;-189.2427;0.13
0.6192872;Player1;pos;186.8539;0.1393963
0.6192872;Player2;pos;-189.2427;0.13
0.6336392;Player1;pos;186.8539;0.1393963
0.6336392;Player2;pos;-189.2427;0.13
0.6522128;Player1;pos;186.8539;0.1393963
0.6522128;Player2;pos;-189.2427;0.13
0.6699808;Player1;pos;186.8539;0.1393963
0.6699808;Player2;pos;-189.2427;0.13
0.6877788;Player1;pos;186.8539;0.1393963
0.6877788;Player2;pos;-189.2427;0.13
0.7052056;Player1;pos;186.8539;0.1393963
0.7052056;Player2;pos;-189.2427;0.13
0.7226529;Player1;pos;186.8539;0.1393963
0.7226529;Player2;pos;-189.2427;0.13
0.7401331;Player1;pos;186.8539;0.1393963
0.7401331;Player2;pos;-189.2427;0.13
0.7583714;Player1;pos;186.8539;0.1393963
0.7583714;Player2;pos;-189.2427;0.13
0.7727456;Player1;pos;186.8539;0.1393963
0.7727456;Player2;pos;-189.2427;0.13
0.7902833;Player1;pos;186.8539;0.1393963
0.7902833;Player2;pos;-189.2427;0.13
0.8079007;Player1;pos;186.8539;0.1393963
0.8079007;Player2;pos;-189.2427;0.13
0.8248329;Player1;pos;186.8539;0.1393963
0.8248329;Player2;pos;-189.2427;0.13
0.8418649;Player1;pos;186.8539;0.1393963
0.8418649;Player2;pos;-189.2427;0.13
0.8590987;Player1;pos;186.8539;0.1393963
0.8590987;Player2;pos;-189.2427;0.13
0.8726944;Player1;pos;186.8539;0.1393963
0.8726944;Player2;pos;-189.2427;0.13
0.8899758;Player1;pos;186.8539;0.1393963
0.8899758;Player2;pos;-189.2427;0.13
0.9068652;Player1;pos;186.8539;0.1393963
0.9068652;Player2;pos;-189.2427;0.13
0.9238176;Player1;pos;186.8539;0.1393963
0.9238176;Player2;pos;-189.2427;0.13
0.9408315;Player1;pos;186.8539;0.1393963
0.9408315;Player2;pos;-189.2427;0.13
0.9585214;Player1;pos;186.8539;0.1393963
0.9585214;Player2;pos;-189.2427;0.13
0.9727142;Player1;pos;186.8539;0.1393963
0.9727142;Player2;pos;-189.2427;0.13
0.9899549;Player1;pos;186.8539;0.1393963
0.9899549;Player2;pos;-189.2427;0.13
1.007812;Player1;pos;186.8539;0.1393963
1.007812;Player2;pos;-189.2427;0.13
1.024936;Player1;pos;186.8539;0.1393963
1.024936;Player2;pos;-189.2427;0.13
1.041636;Player1;pos;186.8539;0.1393963
1.041636;Player2;pos;-189.2427;0.13
1.062405;Player1;pos;186.8539;0.1393963
1.062405;Player2;pos;-189.2427;0.13
1.078065;Player1;pos;186.8539;0.1393963
1.078065;Player2;pos;-189.2427;0.13
1.090408;Player1;pos;186.8539;0.1393963
1.090408;Player2;pos;-189.2427;0.13
1.106339;Player1;pos;186.8539;0.1393963
1.106339;Player2;pos;-189.2427;0.13
1.122293;Player1;pos;186.8539;0.1393963
1.122293;Player2;pos;-189.2427;0.13
1.139004;Player1;pos;186.8539;0.1393963
1.139004;Player2;pos;-189.2427;0.13
1.151543;Player1;pos;186.8539;0.1393963
1.151543;Player2;pos;-189.2427;0.13
1.167369;Player1;pos;186.8539;0.1393963
1.167369;Player2;pos;-189.2427;0.13
1.183516;Player1;pos;186.8539;0.1393963
1.183516;Player2;pos;-189.2427;0.13
1.199665;Player1;pos;186.8539;0.1393963
1.199665;Player2;pos;-189.2427;0.13
1.211994;Player1;pos;186.8539;0.1393963
1.211994;Player2;pos;-189.2427;0.13
