0;System;start;0;0
0;Player1;explorer;186.8539;0.1393963
0;Player2;explorer;-189.2427;0.13
0;Player1;pos;186.8539;0.1393963
0;Player2;pos;-189.2427;0.13
0.02;Player1;pos;186.8539;0.1393963
0.02;Player2;pos;-189.2427;0.13
0.03611713;Player1;pos;186.8539;0.1393963
0.03611713;Player2;pos;-189.2427;0.13
0.04590598;Player1;pos;186.8539;0.1393963
0.04590598;Player2;pos;-189.2427;0.13
0.07009985;Player1;pos;186.8539;0.1393963
0.07009985;Player2;pos;-189.2427;0.13
0.0887721;Player1;pos;186.8539;0.1393963
0.0887721;Player2;pos;-189.2427;0.13
0.1020658;Player1;pos;186.8539;0.1393963
0.1020658;Player2;pos;-189.2427;0.13
0.1152907;Player1;pos;186.8539;0.1393963
0.1152907;Player2;pos;-189.2427;0.13
0.1293619;Player1;pos;186.8539;0.1393963
0.1293619;Player2;pos;-189.2427;0.13
0.1424902;Player1;pos;186.8539;0.1393963
0.1424902;Player2;pos;-189.2427;0.13
0.1563722;Player1;pos;186.8539;0.1393963
0.1563722;Player2;pos;-189.2427;0.13
0.1699038;Player1;pos;186.8539;0.1393963
0.1699038;Player2;pos;-189.2427;0.13
0.1833846;Player1;pos;186.8539;0.1393963
0.1833846;Player2;pos;-189.2427;0.13
0.1953659;Player1;pos;186.8539;0.1393963
0.1953659;Player2;pos;-189.2427;0.13
0.2082753;Player1;pos;186.8539;0.1393963
0.2082753;Player2;pos;-189.2427;0.13
0.2212829;Player1;pos;186.8539;0.1393963
0.2212829;Player2;pos;-189.2427;0.13
0.2343088;Player1;pos;186.8539;0.1393963
0.2343088;Player2;pos;-189.2427;0.13
0.2484097;Player1;pos;186.8539;0.1393963
0.2484097;Player2;pos;-189.2427;0.13
0.2615537;Player1;pos;186.8539;0.1393963
0.2615537;Player2;pos;-189.2427;0.13
0.2743851;Player1;pos;186.8539;0.1393963
0.2743851;Player2;pos;-189.2427;0.13
0.2885438;Player1;pos;186.8539;0.1393963
0.2885438;Player2;pos;-189.2427;0.13
0.3016312;Player1;pos;186.8539;0.1393963
0.3016312;Player2;pos;-189.2427;0.13
0.3154072;Player1;pos;186.8539;0.1393963
0.3154072;Player2;pos;-189.2427;0.13
0.3284741;Player1;pos;186.8539;0.1393963
0.3284741;Player2;pos;-189.2427;0.13
0.3426101;Player1;pos;186.8539;0.1393963
0.3426101;Player2;pos;-189.2427;0.13
0.3554484;Player1;pos;186.8539;0.1393963
0.3554484;Player2;pos;-189.2427;0.13
0.3695546;Player1;pos;186.8539;0.1393963
0.3695546;Player2;pos;-189.2427;0.13
0.3836402;Player1;pos;186.8539;0.1393963
0.3836402;Player2;pos;-189.2427;0.13
0.3965023;Player1;pos;186.8539;0.1393963
0.3965023;Player2;pos;-189.2427;0.13
0.4105325;Player1;pos;186.8539;0.1393963
0.4105325;Player2;pos;-189.2427;0.13
0.423569;Player1;pos;186.8539;0.1393963
0.423569;Player2;pos;-189.2427;0.13
0.4365481;Player1;pos;186.8539;0.1393963
0.4365481;Player2;pos;-189.2427;0.13
0.4505064;Player1;pos;186.8539;0.1393963
0.4505064;Player2;pos;-189.2427;0.13
0.4635241;Player1;pos;186.8539;0.1393963
0.4635241;Player2;pos;-189.2427;0.13
0.4774906;Player1;pos;186.8539;0.1393963
0.4774906;Player2;pos;-189.2427;0.13
0.4904833;Player1;pos;186.8539;0.1393963
0.4904833;Player2;pos;-189.2427;0.13
0.5035331;Player1;pos;186.8539;0.1393963
0.5035331;Player2;pos;-189.2427;0.13
0.5176209;Player1;pos;186.8539;0.1393963
0.5176209;Player2;pos;-189.2427;0.13
0.5315303;Player1;pos;186.8539;0.1393963
0.5315303;Player2;pos;-189.2427;0.13
0.5446038;Player1;pos;186.8539;0.1393963
0.5446038;Player2;pos;-189.2427;0.13
0.5575092;Player1;pos;186.8539;0.1393963
0.5575092;Player2;pos;-189.2427;0.13
0.5715013;Player1;pos;186.8539;0.1393963
0.5715013;Player2;pos;-189.2427;0.13
0.5844786;Player1;pos;186.8539;0.1393963
0.5844786;Player2;pos;-189.2427;0.13
0.5985168;Player1;pos;186.8539;0.1393963
0.5985168;Player2;pos;-189.2427;0.13
0.6125212;Player1;pos;186.8539;0.1393963
0.6125212;Player2;pos;-189.2427;0.13
0.6255965;Player1;pos;186.8539;0.1393963
0.6255965;Player2;pos;-189.2427;0.13
0.6385147;Player1;pos;186.8539;0.1393963
0.6385147;Player2;pos;-189.2427;0.13
0.6526194;Player1;pos;186.8539;0.1393963
0.6526194;Player2;pos;-189.2427;0.13
0.6665723;Player1;pos;186.8539;0.1393963
0.6665723;Player2;pos;-189.2427;0.13
0.6795399;Player1;pos;186.8539;0.1393963
0.6795399;Player2;pos;-189.2427;0.13
0.6935487;Player1;pos;186.8539;0.1393963
0.6935487;Player2;pos;-189.2427;0.13
0.7065058;Player1;pos;186.8539;0.1393963
0.7065058;Player2;pos;-189.2427;0.13
0.7195086;Player1;pos;186.8539;0.1393963
0.7195086;Player2;pos;-189.2427;0.13
0.7334887;Player1;pos;186.8539;0.1393963
0.7334887;Player2;pos;-189.2427;0.13
0.7475909;Player1;pos;186.8539;0.1393963
0.7475909;Player2;pos;-189.2427;0.13
0.7615994;Player1;pos;186.8539;0.1393963
0.7615994;Player2;pos;-189.2427;0.13
0.7744656;Player1;pos;186.8539;0.1393963
0.7744656;Player2;pos;-189.2427;0.13
0.7886563;Player1;pos;186.8539;0.1393963
0.7886563;Player2;pos;-189.2427;0.13
0.8015988;Player1;pos;186.8539;0.1393963
