0;System;start;0;0
0;Player1;explorer;1.9;0
0;Player2;explorer;-1.9;0
0;Player1;pos;1.9;0
0;Player2;pos;-1.9;0
0.02;Player1;pos;1.9;0
0.02;Player2;pos;-1.9;0
0.133251;Player1;pos;1.9;0
0.133251;Player2;pos;-1.9;0
0.2359623;Player1;pos;1.9;0
0.2359623;Player2;pos;-1.9;0
0.2673109;Player1;pos;1.9;0
0.2673109;Player2;pos;-1.9;0
0.289498;Player1;pos;1.9;0
0.289498;Player2;pos;-1.9;0
0.3053222;Player1;pos;1.9;0
0.3053222;Player2;pos;-1.9;0
0.3208869;Player1;pos;1.9;0
0.3208869;Player2;pos;-1.9;0
0.3360314;Player1;pos;1.9;0
0.3360314;Player2;pos;-1.9;0
0.3479888;Player1;pos;1.9;0
0.3479888;Player2;pos;-1.9;0
0.3627739;Player1;pos;1.9;0
0.3627739;Player2;pos;-1.9;0
0.3781826;Player1;pos;1.9;0
0.3781826;Player2;pos;-1.9;0
0.3911036;Player1;pos;1.9;0
0.3911036;Player2;pos;-1.9;0
0.406326;Player1;pos;1.9;0
0.406326;Player2;pos;-1.9;0
0.4225079;Player1;pos;1.9;0
0.4225079;Player2;pos;-1.9;0
0.4383766;Player1;pos;1.9;0
0.4383766;Player2;pos;-1.9;0
0.4516921;Player1;pos;1.9;0
0.4516921;Player2;pos;-1.9;0
0.4675237;Player1;pos;1.9;0
0.4675237;Player2;pos;-1.9;0
0.4839562;Player1;pos;1.9;0
0.4839562;Player2;pos;-1.9;0
0.4994407;Player1;pos;1.9;0
0.4994407;Player2;pos;-1.9;0
0.5128499;Player1;pos;1.9;0
0.5128499;Player2;pos;-1.9;0
0.5286219;Player1;pos;1.9;0
0.5286219;Player2;pos;-1.9;0
0.5447344;Player1;pos;1.9;0
0.5447344;Player2;pos;-1.9;0
0.5608394;Player1;pos;1.9;0
0.5608394;Player2;pos;-1.9;0
0.5762707;Player1;pos;1.9;0
0.5762707;Player2;pos;-1.9;0
0.5887024;Player1;pos;1.9;0
0.5887024;Player2;pos;-1.9;0
0.6044212;Player1;pos;1.9;0
0.6044212;Player2;pos;-1.9;0
0.6207778;Player1;pos;1.9;0
0.6207778;Player2;pos;-1.9;0
0.6366415;Player1;pos;1.9;0
0.6366415;Player2;pos;-1.9;0
0.6497857;Player1;pos;1.9;0
0.6497857;Player2;pos;-1.9;0
0.6697661;Player1;pos;1.9;0
0.6697661;Player2;pos;-1.9;0
0.685472;Player1;pos;1.9;0
0.685472;Player2;pos;-1.9;0
0.7015156;Player1;pos;1.9;0
0.7015156;Player2;pos;-1.9;0
0.717837;Player1;pos;1.9;0
0.717837;Player2;pos;-1.9;0
0.7307393;Player1;pos;1.9;0
0.7307393;Player2;pos;-1.9;0
0.7468159;Player1;pos;1.9;0
0.7468159;Player2;pos;-1.9;0
0.7628928;Player1;pos;1.9;0
0.7628928;Player2;pos;-1.9;0
0.7788281;Player1;pos;1.9;0
0.7788281;Player2;pos;-1.9;0
0.7920238;Player1;pos;1.9;0
0.7920238;Player2;pos;-1.9;0
0.8081751;Player1;pos;1.9;0
0.8081751;Player2;pos;-1.9;0
0.8233707;Player1;pos;1.9;0
0.8233707;Player2;pos;-1.9;0
0.8392543;Player1;pos;1.9;0
0.8392543;Player2;pos;-1.9;0
0.8518678;Player1;pos;1.9;0
0.8518678;Player2;pos;-1.9;0
0.8676613;Player1;pos;1.9;0
0.8676613;Player2;pos;-1.9;0
0.8834226;Player1;pos;1.9;0
0.8834226;Player2;pos;-1.9;0
0.8989496;Player1;pos;1.9;0
0.8989496;Player2;pos;-1.9;0
0.9111168;Player1;pos;1.9;0
0.9111168;Player2;pos;-1.9;0
0.9258633;Player1;pos;1.9;0
0.9258633;Player2;pos;-1.9;0
0.9409162;Player1;pos;1.9;0
0.9409162;Player2;pos;-1.9;0
0.9558263;Player1;pos;1.9;0
0.9558263;Player2;pos;-1.9;0
0.9681575;Player1;pos;1.9;0
0.9681575;Player2;pos;-1.9;0
0.9830276;Player1;pos;1.9;0
0.9830276;Player2;pos;-1.9;0
0.9977943;Player1;pos;1.9;0
0.9977943;Player2;pos;-1.9;0
1.010309;Player1;pos;1.9;0
1.010309;Player2;pos;-1.9;0
1.024998;Player1;pos;1.9;0
1.024998;Player2;pos;-1.9;0
1.039508;Player1;pos;1.9;0
1.039508;Player2;pos;-1.9;0
1.051419;Player1;pos;1.9;0
1.051419;Player2;pos;-1.9;0
1.06598;Player1;pos;1.9;0
1.06598;Player2;pos;-1.9;0
1.080745;Player1;pos;1.9;0
1.080745;Player2;pos;-1.9;0
1.095599;Player1;pos;1.9;0
1.095599;Player2;pos;-1.9;0
1.107409;Player1;pos;1.9;0
1.107409;Player2;pos;-1.9;0
1.121873;Player1;pos;1.9;0
1.121873;Player2;pos;-1.9;0
1.136761;Player1;pos;1.9;0
1.136761;Player2;pos;-1.9;0
1.148994;Player1;pos;1.9;0
1.148994;Player2;pos;-1.9;0
1.163729;Player1;pos;1.9;0
1.163729;Player2;pos;-1.9;0
1.178292;Player1;pos;1.9;0
1.178292;Player2;pos;-1.9;0
1.189968;Player1;pos;1.9;0
1.189968;Player2;pos;-1.9;0
1.204799;Player1;pos;1.9;0
1.204799;Player2;pos;-1.9;0
1.21959;Player1;pos;1.9;0
1.21959;Player2;pos;-1.9;0
1.232064;Player1;pos;1.9;0
1.232064;Player2;pos;-1.9;0
1.246775;Player1;pos;1.9;0
1.246775;Player2;pos;-1.9;0
1.261278;Player1;pos;1.9;0
1.261278;Player2;pos;-1.9;0
1.275854;Player1;pos;1.9;0
1.275854;Player2;pos;-1.9;0
1.287625;Player1;pos;1.9;0
1.287625;Player2;pos;-1.9;0
1.302169;Player1;pos;1.9;0
1.302169;Player2;pos;-1.9;0
1.316709;Player1;pos;1.9;0
1.316709;Player2;pos;-1.9;0
1.328397;Player1;pos;1.9;0
1.328397;Player2;pos;-1.9;0
1.343713;Player1;pos;1.9;0
1.343713;Player2;pos;-1.9;0
1.359751;Player1;pos;1.9;0
1.359751;Player2;pos;-1.9;0
1.371795;Player1;pos;1.9;0
1.371795;Player2;pos;-1.9;0
1.386414;Player1;pos;1.9;0
1.386414;Player2;pos;-1.9;0
1.40536;Player1;pos;1.9;0
1.40536;Player2;pos;-1.9;0
1.421378;Player1;pos;1.9;0
1.421378;Player2;pos;-1.9;0
1.436202;Player1;pos;1.9;0
1.436202;Player2;pos;-1.9;0
1.448054;Player1;pos;1.9;0
1.448054;Player2;pos;-1.9;0
1.462408;Player1;pos;1.9;0
1.462408;Player2;pos;-1.9;0
1.476865;Player1;pos;1.9;0
1.476865;Player2;pos;-1.9;0
1.488412;Player1;pos;1.9;0
1.488412;Player2;pos;-1.9;0
1.50288;Player1;pos;1.9;0
1.50288;Player2;pos;-1.9;0
1.517559;Player1;pos;1.9;0
1.517559;Player2;pos;-1.9;0
1.52925;Player1;pos;1.9;0
1.52925;Player2;pos;-1.9;0
1.543703;Player1;pos;1.9;0
1.543703;Player2;pos;-1.9;0
1.558047;Player1;pos;1.9;0
1.558047;Player2;pos;-1.9;0
1.569732;Player1;pos;1.9;0
1.569732;Player2;pos;-1.9;0
1.584466;Player1;pos;1.9;0
1.584466;Player2;pos;-1.9;0
1.599196;Player1;pos;1.9;0
1.599196;Player2;pos;-1.9;0
1.611101;Player1;pos;1.9;0
1.611101;Player2;pos;-1.9;0
1.626368;Player1;pos;1.9;0
1.626368;Player2;pos;-1.9;0
1.641582;Player1;pos;1.9;0
1.641582;Player2;pos;-1.9;0
1.656611;Player1;pos;1.9;0
1.656611;Player2;pos;-1.9;0
1.669068;Player1;pos;1.9;0
1.669068;Player2;pos;-1.9;0
1.684105;Player1;pos;1.9;0
1.684105;Player2;pos;-1.9;0
1.699471;Player1;pos;1.9;0
1.699471;Player2;pos;-1.9;0
1.712148;Player1;pos;1.9;0
1.712148;Player2;pos;-1.9;0
1.727445;Player1;pos;1.9;0
1.727445;Player2;pos;-1.9;0
1.742557;Player1;pos;1.9;0
1.742557;Player2;pos;-1.9;0
1.758105;Player1;pos;1.9;0
1.758105;Player2;pos;-1.9;0
1.770483;Player1;pos;1.9;0
1.770483;Player2;pos;-1.9;0
1.7863;Player1;pos;1.9;0
1.7863;Player2;pos;-1.9;0
1.801362;Player1;pos;1.9;0
1.801362;Player2;pos;-1.9;0
1.816852;Player1;pos;1.9;0
1.816852;Player2;pos;-1.9;0
1.829297;Player1;pos;1.9;0
