0;System;start;0;0
0;Player1;explorer;1.9;0
0;Player2;explorer;-1.9;0
0;Player1;pos;1.9;0
0;Player2;pos;-1.9;0
0.02;Player1;pos;1.9;0
0.02;Player2;pos;-1.9;0
0.3119077;Player1;pos;1.9;0
0.3119077;Player2;pos;-1.9;0
0.4110964;Player1;pos;1.9;0
0.4110964;Player2;pos;-1.9;0
0.4451686;Player1;pos;1.9;0
0.4451686;Player2;pos;-1.9;0
0.465629;Player1;pos;1.9;0
0.465629;Player2;pos;-1.9;0
0.481228;Player1;pos;1.9;0
0.481228;Player2;pos;-1.9;0
0.4965197;Player1;pos;1.9;0
0.4965197;Player2;pos;-1.9;0
0.5074152;Player1;pos;1.9;0
0.5074152;Player2;pos;-1.9;0
0.5220941;Player1;pos;1.9;0
0.5220941;Player2;pos;-1.9;0
0.5368186;Player1;pos;1.9;0
0.5368186;Player2;pos;-1.9;0
0.5473458;Player1;pos;1.9;0
0.5473458;Player2;pos;-1.9;0
0.5623284;Player1;pos;1.9;0
0.5623284;Player2;pos;-1.9;0
0.5775319;Player1;pos;1.9;0
0.5775319;Player2;pos;-1.9;0
0.5884368;Player1;pos;1.9;0
0.5884368;Player2;pos;-1.9;0
0.6028981;Player1;pos;1.9;0
0.6028981;Player2;pos;-1.9;0
0.6182318;Player1;pos;1.9;0
0.6182318;Player2;pos;-1.9;0
0.6288287;Player1;pos;1.9;0
0.6288287;Player2;pos;-1.9;0
0.6433368;Player1;pos;1.9;0
0.6433368;Player2;pos;-1.9;0
0.6577905;Player1;pos;1.9;0
0.6577905;Player2;pos;-1.9;0
0.668641;Player1;pos;1.9;0
0.668641;Player2;pos;-1.9;0
0.6843399;Player1;pos;1.9;0
0.6843399;Player2;pos;-1.9;0
0.6992168;Player1;pos;1.9;0
0.6992168;Player2;pos;-1.9;0
0.7104218;Player1;pos;1.9;0
0.7104218;Player2;pos;-1.9;0
0.72449;Player1;pos;1.9;0
0.72449;Player2;pos;-1.9;0
0.7392694;Player1;pos;1.9;0
0.7392694;Player2;pos;-1.9;0
0.7498147;Player1;pos;1.9;0
0.7498147;Player2;pos;-1.9;0
0.7639651;Player1;pos;1.9;0
0.7639651;Player2;pos;-1.9;0
0.7790666;Player1;pos;1.9;0
0.7790666;Player2;pos;-1.9;0
0.7895727;Player1;pos;1.9;0
0.7895727;Player2;pos;-1.9;0
0.8049456;Player1;pos;1.9;0
0.8049456;Player2;pos;-1.9;0
0.8198591;Player1;pos;1.9;0
0.8198591;Player2;pos;-1.9;0
0.8303854;Player1;pos;1.9;0
0.8303854;Player2;pos;-1.9;0
0.8452349;Player1;pos;1.9;0
0.8452349;Player2;pos;-1.9;0
0.8602416;Player1;pos;1.9;0
0.8602416;Player2;pos;-1.9;0
0.8754781;Player1;pos;1.9;0
0.8754781;Player2;pos;-1.9;0
0.8858568;Player1;pos;1.9;0
0.8858568;Player2;pos;-1.9;0
0.8996798;Player1;pos;1.9;0
0.8996798;Player2;pos;-1.9;0
0.9096855;Player1;pos;1.9;0
0.9096855;Player2;pos;-1.9;0
0.9245573;Player1;pos;1.9;0
0.9245573;Player2;pos;-1.9;0
0.9393367;Player1;pos;1.9;0
0.9393367;Player2;pos;-1.9;0
0.9498419;Player1;pos;1.9;0
0.9498419;Player2;pos;-1.9;0
0.9644474;Player1;pos;1.9;0
0.9644474;Player2;pos;-1.9;0
0.9793841;Player1;pos;1.9;0
0.9793841;Player2;pos;-1.9;0
0.9901296;Player1;pos;1.9;0
0.9901296;Player2;pos;-1.9;0
1.0049;Player1;pos;1.9;0
1.0049;Player2;pos;-1.9;0
1.019688;Player1;pos;1.9;0
1.019688;Player2;pos;-1.9;0
1.030164;Player1;pos;1.9;0
1.030164;Player2;pos;-1.9;0
1.044494;Player1;pos;1.9;0
1.044494;Player2;pos;-1.9;0
1.05952;Player1;pos;1.9;0
1.05952;Player2;pos;-1.9;0
1.069971;Player1;pos;1.9;0
1.069971;Player2;pos;-1.9;0
1.085001;Player1;pos;1.9;0
1.085001;Player2;pos;-1.9;0
1.099449;Player1;pos;1.9;0
1.099449;Player2;pos;-1.9;0
1.109837;Player1;pos;1.9;0
1.109837;Player2;pos;-1.9;0
1.124252;Player1;pos;1.9;0
1.124252;Player2;pos;-1.9;0
1.138676;Player1;pos;1.9;0
1.138676;Player2;pos;-1.9;0
1.148894;Player1;pos;1.9;0
1.148894;Player2;pos;-1.9;0
1.162715;Player1;pos;1.9;0
1.162715;Player2;pos;-1.9;0
1.177474;Player1;pos;1.9;0
1.177474;Player2;pos;-1.9;0
1.187587;Player1;pos;1.9;0
1.187587;Player2;pos;-1.9;0
1.202127;Player1;pos;1.9;0
1.202127;Player2;pos;-1.9;0
1.216307;Player1;pos;1.9;0
1.216307;Player2;pos;-1.9;0
1.226619;Player1;pos;1.9;0
1.226619;Player2;pos;-1.9;0
1.241299;Player1;pos;1.9;0
1.241299;Player2;pos;-1.9;0
1.255625;Player1;pos;1.9;0
