0;System;start;0;0
0;Player1;explorer;1.9;0
0;Player2;explorer;-1.9;0
0;Player1;pos;-1.897752;1.785232
0;Player2;pos;-0.1064084;-0.2327661
0.02;Player1;pos;-1.897752;1.785232
0.02;Player2;pos;-0.1064082;-0.2327661
0.05744312;Player1;pos;-1.897752;1.785232
0.05744312;Player2;pos;-0.1064082;-0.2327661
0.09239616;Player1;pos;-1.897752;1.785232
0.09239616;Player2;pos;-0.1064082;-0.2327661
0.1190083;Player1;pos;-1.897752;1.785232
0.1190083;Player2;pos;-0.1064082;-0.2327661
0.1373789;Player1;pos;-1.897752;1.785232
0.1373789;Player2;pos;-0.1064082;-0.2327661
0.1548612;Player1;pos;-1.897752;1.785232
0.1548612;Player2;pos;-0.1064082;-0.2327661
0.1725298;Player1;pos;-1.897752;1.785232
0.1725298;Player2;pos;-0.1064082;-0.2327661
0.1902822;Player1;pos;-1.897752;1.785232
0.1902822;Player2;pos;-0.1064082;-0.2327661
0.2083689;Player1;pos;-1.897752;1.785232
0.2083689;Player2;pos;-0.1064082;-0.2327661
0.2262976;Player1;pos;-1.897752;1.785232
0.2262976;Player2;pos;-0.1064082;-0.2327661
0.2584915;Player1;pos;-1.897752;1.785232
0.2584915;Player2;pos;-0.1064082;-0.2327661
0.2797943;Player1;pos;-1.897752;1.785232
0.2797943;Player2;pos;-0.1064082;-0.2327661
0.297132;Player1;pos;-1.897752;1.785232
0.297132;Player2;pos;-0.1064082;-0.2327661
0.3220146;Player1;pos;-1.897752;1.785232
0.3220146;Player2;pos;-0.1064082;-0.2327661
0.3534082;Player1;pos;-1.897752;1.785232
0.3534082;Player2;pos;-0.1064082;-0.2327661
0.3768496;Player1;pos;-1.897752;1.785232
0.3768496;Player2;pos;-0.1064082;-0.2327661
0.401134;Player1;pos;-1.897752;1.785232
0.401134;Player2;pos;-0.1064082;-0.2327661
0.4198981;Player1;pos;-1.897752;1.785232
0.4198981;Player2;pos;-0.1064082;-0.2327661
0.4592345;Player1;pos;-1.897752;1.785232
0.4592345;Player2;pos;-0.1064082;-0.2327661
0.4808668;Player1;pos;-1.897752;1.785232
0.4808668;Player2;pos;-0.1064082;-0.2327661
0.502648;Player1;pos;-1.897752;1.785232
0.502648;Player2;pos;-0.1064082;-0.2327661
0.523029;Player1;pos;-1.897752;1.785232
0.523029;Player2;pos;-0.1064082;-0.2327661
0.5387638;Player1;pos;-1.897752;1.785232
0.5387638;Player2;pos;-0.1064082;-0.2327661
0.5498275;Player1;pos;-1.897752;1.785232
0.5498275;Player2;pos;-0.1064082;-0.2327661
0.568248;Player1;pos;-1.897752;1.785232
0.568248;Player2;pos;-0.1064082;-0.2327661
0.585889;Player1;pos;-1.897752;1.785232
0.585889;Player2;pos;-0.1064082;-0.2327661
0.6001255;Player1;pos;-1.897752;1.785232
0.6001255;Player2;pos;-0.1064082;-0.2327661
0.6152428;Player1;pos;-1.897752;1.785232
0.6152428;Player2;pos;-0.1064082;-0.2327661
0.6261017;Player1;pos;-1.897752;1.785232
0.6261017;Player2;pos;-0.1064082;-0.2327661
0.6512601;Player1;pos;-1.897752;1.785232
0.6512601;Player2;pos;-0.1064082;-0.2327661
0.6708405;Player1;pos;-1.897752;1.785232
0.6708405;Player2;pos;-0.1064082;-0.2327661
0.68958;Player1;pos;-1.897752;1.785232
0.68958;Player2;pos;-0.1064082;-0.2327661
0.7056978;Player1;pos;-1.897752;1.785232
0.7056978;Player2;pos;-0.1064082;-0.2327661
0.722761;Player1;pos;-1.897752;1.785232
0.722761;Player2;pos;-0.1064082;-0.2327661
0.7394377;Player1;pos;-1.897752;1.785232
0.7394377;Player2;pos;-0.1064082;-0.2327661
0.7528744;Player1;pos;-1.897752;1.785232
0.7528744;Player2;pos;-0.1064082;-0.2327661
0.7700749;Player1;pos;-1.897752;1.785232
0.7700749;Player2;pos;-0.1064082;-0.2327661
0.7880822;Player1;pos;-1.897752;1.785232
0.7880822;Player2;pos;-0.1064082;-0.2327661
0.8072863;Player1;pos;-1.897752;1.785232
0.8072863;Player2;pos;-0.1064082;-0.2327661
0.821915;Player1;pos;-1.897752;1.785232
0.821915;Player2;pos;-0.1064082;-0.2327661
0.8401366;Player1;pos;-1.897752;1.785232
0.8401366;Player2;pos;-0.1064082;-0.2327661
0.857409;Player1;pos;-1.897752;1.785232
0.857409;Player2;pos;-0.1064082;-0.2327661
0.8691149;Player1;pos;-1.897752;1.785232
0.8691149;Player2;pos;-0.1064082;-0.2327661
0.8855914;Player1;pos;-1.897752;1.785232
0.8855914;Player2;pos;-0.1064082;-0.2327661
0.9030348;Player1;pos;-1.897752;1.785232
0.9030348;Player2;pos;-0.1064082;-0.2327661
0.9220024;Player1;pos;-1.897752;1.785232
0.9220024;Player2;pos;-0.1064082;-0.2327661
0.9395369;Player1;pos;-1.897752;1.785232
0.9395369;Player2;pos;-0.1064082;-0.2327661
0.951152;Player1;pos;-1.897752;1.785232
0.951152;Player2;pos;-0.1064082;-0.2327661
0.9688388;Player1;pos;-1.897752;1.785232
0.9688388;Player2;pos;-0.1064082;-0.2327661
0.9865643;Player1;pos;-1.897752;1.785232
0.9865643;Player2;pos;-0.1064082;-0.2327661
1.002735;Player1;pos;-1.897752;1.785232
1.002735;Player2;pos;-0.1064082;-0.2327661
1.017908;Player1;pos;-1.897752;1.785232
1.017908;Player2;pos;-0.1064082;-0.2327661
1.029099;Player1;pos;-1.897752;1.785232
1.029099;Player2;pos;-0.1064082;-0.2327661
1.049334;Player1;pos;-1.897752;1.785232
1.049334;Player2;pos;-0.1064082;-0.2327661
1.066077;Player1;pos;-1.897752;1.785232
1.066077;Player2;pos;-0.1064082;-0.2327661
1.080858;Player1;pos;-1.897752;1.785232
1.080858;Player2;pos;-0.1064082;-0.2327661
1.096877;Player1;pos;-1.897752;1.785232
1.096877;Player2;pos;-0.1064082;-0.2327661
1.110674;Player1;pos;-1.897752;1.785232
1.110674;Player2;pos;-0.1064082;-0.2327661
1.126624;Player1;pos;-1.897752;1.785232
1.126624;Player2;pos;-0.1064082;-0.2327661
1.141849;Player1;pos;-1.897752;1.785232
1.141849;Player2;pos;-0.1064082;-0.2327661
1.157617;Player1;pos;-1.897752;1.785232
1.157617;Player2;pos;-0.1064082;-0.2327661
1.170566;Player1;pos;-1.897752;1.785232
1.170566;Player2;pos;-0.1064082;-0.2327661
1.188612;Player1;pos;-1.897752;1.785232
1.188612;Player2;pos;-0.1064082;-0.2327661
1.204354;Player1;pos;-1.897752;1.785232
1.204354;Player2;pos;-0.1064082;-0.2327661
1.219736;Player1;pos;-1.897752;1.785232
1.219736;Player2;pos;-0.1064082;-0.2327661
1.231239;Player1;pos;-1.897752;1.785232
1.231239;Player2;pos;-0.1064082;-0.2327661
1.248413;Player1;pos;-1.897752;1.785232
1.248413;Player2;pos;-0.1064082;-0.2327661
1.264674;Player1;pos;-1.897752;1.785232
1.264674;Player2;pos;-0.1064082;-0.2327661
1.283406;Player1;pos;-1.897752;1.785232
1.283406;Player2;pos;-0.1064082;-0.2327661
1.299923;Player1;pos;-1.897752;1.785232
1.299923;Player2;pos;-0.1064082;-0.2327661
1.313528;Player1;pos;-1.897752;1.785232
1.313528;Player2;pos;-0.1064082;-0.2327661
1.329027;Player1;pos;-1.897752;1.785232
1.329027;Player2;pos;-0.1064082;-0.2327661
1.345137;Player1;pos;-1.897752;1.785232
1.345137;Player2;pos;-0.1064082;-0.2327661
1.361667;Player1;pos;-1.897752;1.785232
1.361667;Player2;pos;-0.1064082;-0.2327661
1.378426;Player1;pos;-1.897752;1.785232
1.378426;Player2;pos;-0.1064082;-0.2327661
1.391631;Player1;pos;-1.897752;1.785232
1.391631;Player2;pos;-0.1064082;-0.2327661
1.405568;Player1;pos;-1.897752;1.785232
1.405568;Player2;pos;-0.1064082;-0.2327661
1.42075;Player1;pos;-1.897752;1.785232
1.42075;Player2;pos;-0.1064082;-0.2327661
1.438769;Player1;pos;-1.897752;1.785232
1.438769;Player2;pos;-0.1064082;-0.2327661
1.452864;Player1;pos;-1.897752;1.785232
1.452864;Player2;pos;-0.1064082;-0.2327661
1.469787;Player1;pos;-1.897752;1.785232
1.469787;Player2;pos;-0.1064082;-0.2327661
1.486939;Player1;pos;-1.897752;1.785232
1.486939;Player2;pos;-0.1064082;-0.2327661
1.501402;Player1;pos;-1.897752;1.785232
1.501402;Player2;pos;-0.1064082;-0.2327661
1.520924;Player1;pos;-1.897752;1.785232
