0;System;start;0;0
0;Player1;explorer;186.8539;0.1393963
0;Player2;explorer;-189.2427;0.13
0;Player1;pos;186.8539;0.1393963
0;Player2;pos;-189.2427;0.13
0.02;Player1;pos;186.8539;0.1393963
0.02;Player2;pos;-189.2427;0.13
0.2178026;Player1;pos;186.8539;0.1393963
0.2178026;Player2;pos;-189.2427;0.13
0.2801138;Player1;pos;186.8539;0.1393963
0.2801138;Player2;pos;-189.2427;0.13
0.3046945;Player1;pos;186.8539;0.1393963
0.3046945;Player2;pos;-189.2427;0.13
0.32117;Player1;pos;186.8539;0.1393963
0.32117;Player2;pos;-189.2427;0.13
0.3397176;Player1;pos;186.8539;0.1393963
0.3397176;Player2;pos;-189.2427;0.13
0.3549308;Player1;pos;186.8539;0.1393963
0.3549308;Player2;pos;-189.2427;0.13
0.3714723;Player1;pos;186.8539;0.1393963
0.3714723;Player2;pos;-189.2427;0.13
0.3894465;Player1;pos;186.8539;0.1393963
0.3894465;Player2;pos;-189.2427;0.13
0.4060078;Player1;pos;186.8539;0.1393963
0.4060078;Player2;pos;-189.2427;0.13
0.4220263;Player1;pos;186.8539;0.1393963
0.4220263;Player2;pos;-189.2427;0.13
0.4382159;Player1;pos;186.8539;0.1393963
0.4382159;Player2;pos;-189.2427;0.13
0.4505158;Player1;pos;186.8539;0.1393963
0.4505158;Player2;pos;-189.2427;0.13
0.4692887;Player1;pos;186.8539;0.1393963
0.4692887;Player2;pos;-189.2427;0.13
0.4861096;Player1;pos;186.8539;0.1393963
0.4861096;Player2;pos;-189.2427;0.13
0.501986;Player1;pos;186.8539;0.1393963
0.501986;Player2;pos;-189.2427;0.13
0.5179893;Player1;pos;186.8539;0.1393963
0.5179893;Player2;pos;-189.2427;0.13
0.5306082;Player1;pos;186.8539;0.1393963
0.5306082;Player2;pos;-189.2427;0.13
0.5494251;Player1;pos;186.8539;0.1393963
0.5494251;Player2;pos;-189.2427;0.13
0.5661453;Player1;pos;186.8539;0.1393963
0.5661453;Player2;pos;-189.2427;0.13
0.5818334;Player1;pos;186.8539;0.1393963
0.5818334;Player2;pos;-189.2427;0.13
0.5978809;Player1;pos;186.8539;0.1393963
0.5978809;Player2;pos;-189.2427;0.13
0.612875;Player1;pos;186.8539;0.1393963
0.612875;Player2;pos;-189.2427;0.13
0.6302997;Player1;pos;186.8539;0.1393963
0.6302997;Player2;pos;-189.2427;0.13
0.6461335;Player1;pos;186.8539;0.1393963
0.6461335;Player2;pos;-189.2427;0.13
0.6626067;Player1;pos;186.8539;0.1393963
0.6626067;Player2;pos;-189.2427;0.13
0.6789296;Player1;pos;186.8539;0.1393963
0.6789296;Player2;pos;-189.2427;0.13
0.6935005;Player1;pos;186.8539;0.1393963
0.6935005;Player2;pos;-189.2427;0.13
0.7121687;Player1;pos;186.8539;0.1393963
0.7121687;Player2;pos;-189.2427;0.13
0.7292942;Player1;pos;186.8539;0.1393963
0.7292942;Player2;pos;-189.2427;0.13
0.746581;Player1;pos;186.8539;0.1393963
0.746581;Player2;pos;-189.2427;0.13
0.7631031;Player1;pos;186.8539;0.1393963
0.7631031;Player2;pos;-189.2427;0.13
0.7796209;Player1;pos;186.8539;0.1393963
0.7796209;Player2;pos;-189.2427;0.13
0.7927878;Player1;pos;186.8539;0.1393963
0.7927878;Player2;pos;-189.2427;0.13
0.8097703;Player1;pos;186.8539;0.1393963
0.8097703;Player2;pos;-189.2427;0.13
0.8340197;Player1;pos;186.8539;0.1393963
0.8340197;Player2;pos;-189.2427;0.13
0.8507778;Player1;pos;186.8539;0.1393963
0.8507778;Player2;pos;-189.2427;0.13
0.8679494;Player1;pos;186.8539;0.1393963
0.8679494;Player2;pos;-189.2427;0.13
0.8850893;Player1;pos;186.8539;0.1393963
0.8850893;Player2;pos;-189.2427;0.13
0.9013797;Player1;pos;186.8539;0.1393963
0.9013797;Player2;pos;-189.2427;0.13
0.9178573;Player1;pos;186.8539;0.1393963
0.9178573;Player2;pos;-189.2427;0.13
0.9312145;Player1;pos;186.8539;0.1393963
0.9312145;Player2;pos;-189.2427;0.13
0.9482947;Player1;pos;186.8539;0.1393963
0.9482947;Player2;pos;-189.2427;0.13
0.9665251;Player1;pos;186.8539;0.1393963
0.9665251;Player2;pos;-189.2427;0.13
0.9844413;Player1;pos;186.8539;0.1393963
0.9844413;Player2;pos;-189.2427;0.13
1.00277;Player1;pos;186.8539;0.1393963
1.00277;Player2;pos;-189.2427;0.13
1.018999;Player1;pos;186.8539;0.1393963
1.018999;Player2;pos;-189.2427;0.13
1.031762;Player1;pos;186.8539;0.1393963
1.031762;Player2;pos;-189.2427;0.13
1.047697;Player1;pos;186.8539;0.1393963
1.047697;Player2;pos;-189.2427;0.13
1.062317;Player1;pos;186.8539;0.1393963
1.062317;Player2;pos;-189.2427;0.13
1.077054;Player1;pos;186.8539;0.1393963
1.077054;Player2;pos;-189.2427;0.13
1.089578;Player1;pos;186.8539;0.1393963
1.089578;Player2;pos;-189.2427;0.13
1.10548;Player1;pos;186.8539;0.1393963
1.10548;Player2;pos;-189.2427;0.13
1.121968;Player1;pos;186.8539;0.1393963
1.121968;Player2;pos;-189.2427;0.13
1.138153;Player1;pos;186.8539;0.1393963
1.138153;Player2;pos;-189.2427;0.13
1.149861;Player1;pos;186.8539;0.1393963
1.149861;Player2;pos;-189.2427;0.13
1.165905;Player1;pos;186.8539;0.1393963
1.165905;Player2;pos;-189.2427;0.13
1.181659;Player1;pos;186.8539;0.1393963
1.181659;Player2;pos;-189.2427;0.13
