0;System;start;0;0
0;Player1;explorer;1.9;0
0;Player2;explorer;-1.9;0
0;Player1;pos;-1.087341;0.907788
0;Player2;pos;-2.777526;-1.358789
0.02;Player1;pos;-1.087341;0.9077881
0.02;Player2;pos;-2.777526;-1.358789
0.048795;Player1;pos;-1.087341;0.9077881
0.048795;Player2;pos;-2.777526;-1.358789
0.07175885;Player1;pos;-1.087341;0.9077881
0.07175885;Player2;pos;-2.777526;-1.358789
0.0925695;Player1;pos;-1.087341;0.9077881
0.0925695;Player2;pos;-2.777526;-1.358789
0.1122632;Player1;pos;-1.087341;0.9077881
0.1122632;Player2;pos;-2.777526;-1.358789
0.1305323;Player1;pos;-1.087341;0.9077881
0.1305323;Player2;pos;-2.777526;-1.358789
0.1480631;Player1;pos;-1.087341;0.9077881
0.1480631;Player2;pos;-2.777526;-1.358789
0.1676373;Player1;pos;-1.087341;0.9077881
0.1676373;Player2;pos;-2.777526;-1.358789
0.1870755;Player1;pos;-1.087341;0.9077881
0.1870755;Player2;pos;-2.777526;-1.358789
0.2031308;Player1;pos;-1.087341;0.9077881
0.2031308;Player2;pos;-2.777526;-1.358789
0.2231048;Player1;pos;-1.087341;0.9077881
0.2231048;Player2;pos;-2.777526;-1.358789
0.2397107;Player1;pos;-1.087341;0.9077881
0.2397107;Player2;pos;-2.777526;-1.358789
0.2512163;Player1;pos;-1.087341;0.9077881
0.2512163;Player2;pos;-2.777526;-1.358789
0.2703243;Player1;pos;-1.087341;0.9077881
0.2703243;Player2;pos;-2.777526;-1.358789
0.2860464;Player1;pos;-1.087341;0.9077881
0.2860464;Player2;pos;-2.777526;-1.358789
0.3030112;Player1;pos;-1.087341;0.9077881
0.3030112;Player2;pos;-1.647709;-1.726446
0.3207409;Player1;pos;-1.087341;0.9077881
0.3207409;Player2;pos;-1.37784;-1.814264
0.337449;Player1;pos;-1.087341;0.9077881
0.337449;Player2;pos;-0.8578216;-2.2183
0.3614363;Player1;pos;-1.087341;0.9077881
0.3614363;Player2;pos;-1.211576;-1.888327
0.3915033;Player1;pos;-1.087341;0.9077881
0.3915033;Player2;pos;-1.211576;-1.888327
0.4126399;Player1;pos;-1.087341;0.9077881
0.4126399;Player2;pos;-1.211576;-1.888327
0.4312692;Player1;pos;-1.087341;0.9077881
0.4312692;Player2;pos;-1.211576;-1.888327
0.4496783;Player1;pos;-1.087341;0.9077881
0.4496783;Player2;pos;-1.211576;-1.888327
0.4708056;Player1;pos;-1.087341;0.9077881
0.4708056;Player2;pos;-1.211576;-1.888327
0.4866937;Player1;pos;-1.087341;0.9077881
0.4866937;Player2;pos;-1.211576;-1.888327
0.5062955;Player1;pos;-1.087341;0.9077881
0.5062955;Player2;pos;-1.211576;-1.888327
0.5228914;Player1;pos;-1.087341;0.9077881
0.5228914;Player2;pos;-1.211576;-1.888327
0.5408779;Player1;pos;-1.087341;0.9077881
0.5408779;Player2;pos;-1.211576;-1.888327
0.5577512;Player1;pos;-1.087341;0.9077881
0.5577512;Player2;pos;-1.211576;-1.888327
0.5727456;Player1;pos;-1.087341;0.9077881
0.5727456;Player2;pos;-1.211576;-1.888327
0.5916818;Player1;pos;-1.087341;0.9077881
0.5916818;Player2;pos;-1.211576;-1.888327
0.6109795;Player1;pos;-1.087341;0.9077881
0.6109795;Player2;pos;-1.211576;-1.888327
0.6310921;Player1;pos;-1.087341;0.9077881
0.6310921;Player2;pos;-1.211576;-1.888327
0.6474271;Player1;pos;-1.087341;0.9077881
0.6474271;Player2;pos;-1.211576;-1.888327
0.6660825;Player1;pos;-1.087341;0.9077881
0.6660825;Player2;pos;-1.211576;-1.888327
0.6845177;Player1;pos;-1.087341;0.9077881
0.6845177;Player2;pos;-1.211576;-1.888327
0.7041836;Player1;pos;-1.087341;0.9077881
0.7041836;Player2;pos;-1.211576;-1.888327
0.7213352;Player1;pos;-1.087341;0.9077881
0.7213352;Player2;pos;-1.211576;-1.888327
0.7381352;Player1;pos;-1.087341;0.9077881
0.7381352;Player2;pos;-1.211576;-1.888327
0.7506512;Player1;pos;-1.087341;0.9077881
0.7506512;Player2;pos;-1.211576;-1.888327
0.7687843;Player1;pos;-1.087341;0.9077881
0.7687843;Player2;pos;-1.211576;-1.888327
0.7873046;Player1;pos;-1.087341;0.9077881
0.7873046;Player2;pos;-1.211576;-1.888327
0.8049582;Player1;pos;-1.087341;0.9077881
0.8049582;Player2;pos;-1.211576;-1.888327
0.8231869;Player1;pos;-1.087341;0.9077881
0.8231869;Player2;pos;-1.211576;-1.888327
0.8396345;Player1;pos;-1.087341;0.9077881
0.8396345;Player2;pos;-1.211576;-1.888327
0.852904;Player1;pos;-1.087341;0.9077881
0.852904;Player2;pos;-1.211576;-1.888327
0.8723227;Player1;pos;-1.087341;0.9077881
0.8723227;Player2;pos;-1.211576;-1.888327
0.8912078;Player1;pos;-1.087341;0.9077881
0.8912078;Player2;pos;-1.211576;-1.888327
0.9124171;Player1;pos;-1.087341;0.9077881
