0;System;start;0;0
0;Player1;explorer;1.9;0
0;Player2;explorer;-1.9;0
0;Player1;pos;1.9;0
0;Player2;pos;-1.9;0
0.02;Player1;pos;1.9;0
0.02;Player2;pos;-1.9;0
0.2252378;Player1;pos;1.9;0
0.2252378;Player2;pos;-1.9;0
0.2895437;Player1;pos;1.9;0
0.2895437;Player2;pos;-1.9;0
0.3105248;Player1;pos;1.9;0
0.3105248;Player2;pos;-1.9;0
0.3241777;Player1;pos;1.9;0
0.3241777;Player2;pos;-1.9;0
0.3435783;Player1;pos;1.9;0
0.3435783;Player2;pos;-1.9;0
0.3563183;Player1;pos;1.9;0
0.3563183;Player2;pos;-1.9;0
0.3657224;Player1;pos;1.9;0
0.3657224;Player2;pos;-1.9;0
0.386223;Player1;pos;1.9;0
0.386223;Player2;pos;-1.9;0
0.4033495;Player1;pos;1.9;0
0.4033495;Player2;pos;-1.9;0
0.4218884;Player1;pos;1.9;0
0.4218884;Player2;pos;-1.9;0
0.4406164;Player1;pos;1.9;0
0.4406164;Player2;pos;-1.9;0
0.4587285;Player1;pos;1.9;0
0.4587285;Player2;pos;-1.9;0
0.4776232;Player1;pos;1.9;0
0.4776232;Player2;pos;-1.9;0
0.4915101;Player1;pos;1.9;0
0.4915101;Player2;pos;-1.9;0
0.5046387;Player1;pos;1.9;0
0.5046387;Player2;pos;-1.9;0
0.518053;Player1;pos;1.9;0
0.518053;Player2;pos;-1.9;0
0.5266566;Player1;pos;1.9;0
0.5266566;Player2;pos;-1.9;0
0.5403732;Player1;pos;1.9;0
0.5403732;Player2;pos;-1.9;0
0.5532075;Player1;pos;1.9;0
0.5532075;Player2;pos;-1.9;0
0.5625322;Player1;pos;1.9;0
0.5625322;Player2;pos;-1.9;0
0.5755277;Player1;pos;1.9;0
0.5755277;Player2;pos;-1.9;0
0.5859104;Player1;pos;1.9;0
0.5859104;Player2;pos;-1.9;0
0.6013263;Player1;pos;1.9;0
0.6013263;Player2;pos;-1.9;0
0.6144079;Player1;pos;1.9;0
0.6144079;Player2;pos;-1.9;0
0.624441;Player1;pos;1.9;0
0.624441;Player2;pos;-1.9;0
0.6382387;Player1;pos;1.9;0
0.6382387;Player2;pos;-1.9;0
0.6476308;Player1;pos;1.9;0
0.6476308;Player2;pos;-1.9;0
0.6599684;Player1;pos;1.9;0
0.6599684;Player2;pos;-1.9;0
0.668896;Player1;pos;1.9;0
0.668896;Player2;pos;-1.9;0
0.6811125;Player1;pos;1.9;0
0.6811125;Player2;pos;-1.9;0
0.694568;Player1;pos;1.9;0
0.694568;Player2;pos;-1.9;0
0.7056067;Player1;pos;1.9;0
0.7056067;Player2;pos;-1.9;0
0.7197587;Player1;pos;1.9;0
0.7197587;Player2;pos;-1.9;0
0.7288854;Player1;pos;1.9;0
0.7288854;Player2;pos;-1.9;0
0.7432133;Player1;pos;1.9;0
0.7432133;Player2;pos;-1.9;0
0.758428;Player1;pos;1.9;0
0.758428;Player2;pos;-1.9;0
0.7683088;Player1;pos;1.9;0
0.7683088;Player2;pos;-1.9;0
0.7831715;Player1;pos;1.9;0
0.7831715;Player2;pos;-1.9;0
0.7963913;Player1;pos;1.9;0
0.7963913;Player2;pos;-1.9;0
0.8067705;Player1;pos;1.9;0
0.8067705;Player2;pos;-1.9;0
0.820248;Player1;pos;1.9;0
0.820248;Player2;pos;-1.9;0
0.83477;Player1;pos;1.9;0
0.83477;Player2;pos;-1.9;0
0.8451794;Player1;pos;1.9;0
0.8451794;Player2;pos;-1.9;0
0.8614568;Player1;pos;1.9;0
0.8614568;Player2;pos;-1.9;0
0.8763774;Player1;pos;1.9;0
0.8763774;Player2;pos;-1.9;0
0.8878756;Player1;pos;1.9;0
0.8878756;Player2;pos;-1.9;0
0.9028002;Player1;pos;1.9;0
0.9028002;Player2;pos;-1.9;0
0.9165806;Player1;pos;1.9;0
0.9165806;Player2;pos;-1.9;0
0.9267537;Player1;pos;1.9;0
0.9267537;Player2;pos;-1.9;0
0.9394743;Player1;pos;1.9;0
0.9394743;Player2;pos;-1.9;0
0.9495928;Player1;pos;1.9;0
0.9495928;Player2;pos;-1.9;0
0.9636249;Player1;pos;1.9;0
0.9636249;Player2;pos;-1.9;0
0.9765149;Player1;pos;1.9;0
0.9765149;Player2;pos;-1.9;0
0.985974;Player1;pos;1.9;0
0.985974;Player2;pos;-1.9;0
0.9983997;Player1;pos;1.9;0
0.9983997;Player2;pos;-1.9;0
1.00767;Player1;pos;1.9;0
1.00767;Player2;pos;-1.9;0
1.020451;Player1;pos;1.9;0
1.020451;Player2;pos;-1.9;0
1.032909;Player1;pos;1.9;0
1.032909;Player2;pos;-1.9;0
1.040401;Player1;pos;1.9;0
1.040401;Player2;pos;-1.9;0
1.051583;Player1;pos;1.9;0
1.051583;Player2;pos;-1.9;0
1.059904;Player1;pos;1.9;0
1.059904;Player2;pos;-1.9;0
1.06763;Player1;pos;1.9;0
1.06763;Player2;pos;-1.9;0
1.079482;Player1;pos;1.9;0
1.079482;Player2;pos;-1.9;0
1.087284;Player1;pos;1.9;0
1.087284;Player2;pos;-1.9;0
1.098508;Player1;pos;1.9;0
1.098508;Player2;pos;-1.9;0
1.10614;Player1;pos;1.9;0
1.10614;Player2;pos;-1.9;0
1.117196;Player1;pos;1.9;0
1.117196;Player2;pos;-1.9;0
1.125887;Player1;pos;1.9;0
1.125887;Player2;pos;-1.9;0
1.137035;Player1;pos;1.9;0
1.137035;Player2;pos;-1.9;0
1.144593;Player1;pos;1.9;0
1.144593;Player2;pos;-1.9;0
1.156431;Player1;pos;1.9;0
1.156431;Player2;pos;-1.9;0
1.165051;Player1;pos;1.9;0
1.165051;Player2;pos;-1.9;0
1.177067;Player1;pos;1.9;0
1.177067;Player2;pos;-1.9;0
1.185658;Player1;pos;1.9;0
1.185658;Player2;pos;-1.9;0
1.196706;Player1;pos;1.9;0
1.196706;Player2;pos;-1.9;0
1.204251;Player1;pos;1.9;0
1.204251;Player2;pos;-1.9;0
1.215514;Player1;pos;1.9;0
1.215514;Player2;pos;-1.9;0
1.22354;Player1;pos;1.9;0
1.22354;Player2;pos;-1.9;0
1.235425;Player1;pos;1.9;0
1.235425;Player2;pos;-1.9;0
1.242806;Player1;pos;1.9;0
1.242806;Player2;pos;-1.9;0
1.254334;Player1;pos;1.9;0
1.254334;Player2;pos;-1.9;0
1.266337;Player1;pos;1.9;0
1.266337;Player2;pos;-1.9;0
1.277337;Player1;pos;1.9;0
1.277337;Player2;pos;-1.9;0
1.285254;Player1;pos;1.9;0
1.285254;Player2;pos;-1.9;0
1.296337;Player1;pos;1.9;0
1.296337;Player2;pos;-1.9;0
1.304158;Player1;pos;1.9;0
1.304158;Player2;pos;-1.9;0
1.315527;Player1;pos;1.9;0
1.315527;Player2;pos;-1.9;0
1.3243;Player1;pos;1.9;0
1.3243;Player2;pos;-1.9;0
1.335681;Player1;pos;1.9;0
1.335681;Player2;pos;-1.9;0
1.343482;Player1;pos;1.9;0
1.343482;Player2;pos;-1.9;0
1.355958;Player1;pos;1.9;0
1.355958;Player2;pos;-1.9;0
1.363817;Player1;pos;1.9;0
1.363817;Player2;pos;-1.9;0
1.375198;Player1;pos;1.9;0
1.375198;Player2;pos;-1.9;0
1.382949;Player1;pos;1.9;0
1.382949;Player2;pos;-1.9;0
1.393869;Player1;pos;1.9;0
1.393869;Player2;pos;-1.9;0
1.401821;Player1;pos;1.9;0
1.401821;Player2;pos;-1.9;0
1.412758;Player1;pos;1.9;0
1.412758;Player2;pos;-1.9;0
1.42046;Player1;pos;1.9;0
1.42046;Player2;pos;-1.9;0
1.431782;Player1;pos;1.9;0
1.431782;Player2;pos;-1.9;0
1.439673;Player1;pos;1.9;0
1.439673;Player2;pos;-1.9;0
1.447504;Player1;pos;1.9;0
1.447504;Player2;pos;-1.9;0
1.458592;Player1;pos;1.9;0
1.458592;Player2;pos;-1.9;0
1.46661;Player1;pos;1.9;0
1.46661;Player2;pos;-1.9;0
1.477619;Player1;pos;1.9;0
1.477619;Player2;pos;-1.9;0
1.485594;Player1;pos;1.9;0
1.485594;Player2;pos;-1.9;0
1.497229;Player1;pos;1.9;0
1.497229;Player2;pos;-1.9;0
1.505322;Player1;pos;1.9;0
1.505322;Player2;pos;-1.9;0
1.51706;Player1;pos;1.9;0
1.51706;Player2;pos;-1.9;0
1.525157;Player1;pos;1.9;0
1.525157;Player2;pos;-1.9;0
1.537;Player1;pos;1.9;0
