0;System;start;0;0
0;Player1;explorer;1.9;0
0;Player2;explorer;-1.9;0
0;Player1;pos;1.9;0
0;Player2;pos;-1.9;0
0.02;Player1;pos;1.9;0
0.02;Player2;pos;-1.9;0
0.04421249;Player1;pos;1.9;0
0.04421249;Player2;pos;-1.9;0
0.08275419;Player1;pos;1.9;0
0.08275419;Player2;pos;-1.9;0
0.1069826;Player1;pos;1.9;0
0.1069826;Player2;pos;-1.9;0
0.122699;Player1;pos;1.9;0
0.122699;Player2;pos;-1.9;0
0.1403672;Player1;pos;1.9;0
0.1403672;Player2;pos;-1.9;0
0.1576892;Player1;pos;1.9;0
0.1576892;Player2;pos;-1.9;0
0.1703092;Player1;pos;1.9;0
0.1703092;Player2;pos;-1.9;0
0.1878767;Player1;pos;1.9;0
0.1878767;Player2;pos;-1.9;0
0.2070182;Player1;pos;1.9;0
0.2070182;Player2;pos;-1.9;0
0.2239043;Player1;pos;1.9;0
0.2239043;Player2;pos;-1.9;0
0.2402221;Player1;pos;1.9;0
0.2402221;Player2;pos;-1.9;0
0.2594155;Player1;pos;1.9;0
0.2594155;Player2;pos;-1.9;0
0.2708583;Player1;pos;1.9;0
0.2708583;Player2;pos;-1.9;0
0.2853567;Player1;pos;1.9;0
0.2853567;Player2;pos;-1.9;0
0.3012795;Player1;pos;1.9;0
0.3012795;Player2;pos;-1.9;0
0.3156891;Player1;pos;1.9;0
0.3156891;Player2;pos;-1.9;0
0.3265065;Player1;pos;1.9;0
0.3265065;Player2;pos;-1.9;0
0.3412648;Player1;pos;1.9;0
0.3412648;Player2;pos;-1.9;0
0.3579517;Player1;pos;1.9;0
0.3579517;Player2;pos;-1.9;0
0.3686132;Player1;pos;1.9;0
0.3686132;Player2;pos;-1.9;0
0.3848744;Player1;pos;1.9;0
0.3848744;Player2;pos;-1.9;0
0.4018207;Player1;pos;1.9;0
0.4018207;Player2;pos;-1.9;0
0.4204855;Player1;pos;1.9;0
0.4204855;Player2;pos;-1.9;0
0.4349926;Player1;pos;1.9;0
0.4349926;Player2;pos;-1.9;0
0.4457962;Player1;pos;1.9;0
0.4457962;Player2;pos;-1.9;0
0.4607349;Player1;pos;1.9;0
0.4607349;Player2;pos;-1.9;0
0.4801767;Player1;pos;1.9;0
0.4801767;Player2;pos;-1.9;0
0.4984485;Player1;pos;1.9;0
0.4984485;Player2;pos;-1.9;0
0.5120166;Player1;pos;1.9;0
0.5120166;Player2;pos;-1.9;0
0.5287693;Player1;pos;1.9;0
0.5287693;Player2;pos;-1.9;0
0.5465955;Player1;pos;1.9;0
0.5465955;Player2;pos;-1.9;0
0.5639075;Player1;pos;1.9;0
0.5639075;Player2;pos;-1.9;0
0.5794082;Player1;pos;1.9;0
0.5794082;Player2;pos;-1.9;0
0.5928693;Player1;pos;1.9;0
0.5928693;Player2;pos;-1.9;0
0.6099768;Player1;pos;1.9;0
0.6099768;Player2;pos;-1.9;0
0.6294856;Player1;pos;1.9;0
0.6294856;Player2;pos;-1.9;0
0.6482421;Player1;pos;1.9;0
0.6482421;Player2;pos;-1.9;0
0.6641794;Player1;pos;1.9;0
0.6641794;Player2;pos;-1.9;0
0.6794184;Player1;pos;1.9;0
0.6794184;Player2;pos;-1.9;0
0.6906913;Player1;pos;1.9;0
0.6906913;Player2;pos;-1.9;0
0.7078073;Player1;pos;1.9;0
0.7078073;Player2;pos;-1.9;0
0.725489;Player1;pos;1.9;0
0.725489;Player2;pos;-1.9;0
0.7391534;Player1;pos;1.9;0
0.7391534;Player2;pos;-1.9;0
0.7515516;Player1;pos;1.9;0
0.7515516;Player2;pos;-1.9;0
0.770296;Player1;pos;1.9;0
0.770296;Player2;pos;-1.9;0
0.788563;Player1;pos;1.9;0
0.788563;Player2;pos;-1.9;0
0.8043759;Player1;pos;1.9;0
0.8043759;Player2;pos;-1.9;0
0.8221765;Player1;pos;1.9;0
0.8221765;Player2;pos;-1.9;0
0.837726;Player1;pos;1.9;0
0.837726;Player2;pos;-1.9;0
0.8495664;Player1;pos;1.9;0
0.8495664;Player2;pos;-1.9;0
0.8659819;Player1;pos;1.9;0
0.8659819;Player2;pos;-1.9;0
0.8824556;Player1;pos;1.9;0
0.8824556;Player2;pos;-1.9;0
0.8990461;Player1;pos;1.9;0
0.8990461;Player2;pos;-1.9;0
0.9110813;Player1;pos;1.9;0
0.9110813;Player2;pos;-1.9;0
0.9269339;Player1;pos;1.9;0
0.9269339;Player2;pos;-1.9;0
0.9430728;Player1;pos;1.9;0
0.9430728;Player2;pos;-1.9;0
0.9589083;Player1;pos;1.9;0
0.9589083;Player2;pos;-1.9;0
0.9703086;Player1;pos;1.9;0
0.9703086;Player2;pos;-1.9;0
0.9858797;Player1;pos;1.9;0
0.9858797;Player2;pos;-1.9;0
1.002514;Player1;pos;1.9;0
1.002514;Player2;pos;-1.9;0
1.02084;Player1;pos;1.9;0
1.02084;Player2;pos;-1.9;0
1.036542;Player1;pos;1.9;0
1.036542;Player2;pos;-1.9;0
1.051412;Player1;pos;1.9;0
1.051412;Player2;pos;-1.9;0
1.068247;Player1;pos;1.9;0
1.068247;Player2;pos;-1.9;0
1.083827;Player1;pos;1.9;0
1.083827;Player2;pos;-1.9;0
1.100083;Player1;pos;1.9;0
1.100083;Player2;pos;-1.9;0
1.114304;Player1;pos;1.9;0
1.114304;Player2;pos;-1.9;0
1.126031;Player1;pos;1.9;0
1.126031;Player2;pos;-1.9;0
1.140289;Player1;pos;1.9;0
1.140289;Player2;pos;-1.9;0
1.15642;Player1;pos;1.9;0
1.15642;Player2;pos;-1.9;0
1.164204;Player1;pos;1.9;0
1.164204;Player2;pos;-1.9;0
1.173655;Player1;pos;1.9;0
1.173655;Player2;pos;-1.9;0
1.181571;Player1;pos;1.9;0
1.181571;Player2;pos;-1.9;0
1.196073;Player1;pos;1.9;0
1.196073;Player2;pos;-1.9;0
1.204752;Player1;pos;1.9;0
1.204752;Player2;pos;-1.9;0
1.216576;Player1;pos;1.9;0
1.216576;Player2;pos;-1.9;0
1.224617;Player1;pos;1.9;0
1.224617;Player2;pos;-1.9;0
1.236194;Player1;pos;1.9;0
1.236194;Player2;pos;-1.9;0
1.244138;Player1;pos;1.9;0
1.244138;Player2;pos;-1.9;0
1.25683;Player1;pos;1.9;0
1.25683;Player2;pos;-1.9;0
1.263922;Player1;pos;1.9;0
1.263922;Player2;pos;-1.9;0
1.275298;Player1;pos;1.9;0
1.275298;Player2;pos;-1.9;0
1.283344;Player1;pos;1.9;0
1.283344;Player2;pos;-1.9;0
1.298973;Player1;pos;1.9;0
1.298973;Player2;pos;-1.9;0
1.305734;Player1;pos;1.9;0
1.305734;Player2;pos;-1.9;0
1.319633;Player1;pos;1.9;0
1.319633;Player2;pos;-1.9;0
1.329796;Player1;pos;1.9;0
1.329796;Player2;pos;-1.9;0
1.346732;Player1;pos;1.9;0
1.346732;Player2;pos;-1.9;0
1.357442;Player1;pos;1.9;0
1.357442;Player2;pos;-1.9;0
1.364819;Player1;pos;1.9;0
1.364819;Player2;pos;-1.9;0
1.375179;Player1;pos;1.9;0
1.375179;Player2;pos;-1.9;0
1.382031;Player1;pos;1.9;0
1.382031;Player2;pos;-1.9;0
1.394821;Player1;pos;1.9;0
1.394821;Player2;pos;-1.9;0
1.401505;Player1;pos;1.9;0
1.401505;Player2;pos;-1.9;0
1.415898;Player1;pos;1.9;0
1.415898;Player2;pos;-1.9;0
1.42413;Player1;pos;1.9;0
1.42413;Player2;pos;-1.9;0
1.438092;Player1;pos;1.9;0
1.438092;Player2;pos;-1.9;0
1.447949;Player1;pos;1.9;0
1.447949;Player2;pos;-1.9;0
1.460003;Player1;pos;1.9;0
1.460003;Player2;pos;-1.9;0
1.472801;Player1;pos;1.9;0
1.472801;Player2;pos;-1.9;0
1.482332;Player1;pos;1.9;0
1.482332;Player2;pos;-1.9;0
1.495898;Player1;pos;1.9;0
1.495898;Player2;pos;-1.9;0
1.504165;Player1;pos;1.9;0
1.504165;Player2;pos;-1.9;0
1.516084;Player1;pos;1.9;0
1.516084;Player2;pos;-1.9;0
1.526147;Player1;pos;1.9;0
1.526147;Player2;pos;-1.9;0
1.537948;Player1;pos;1.9;0
1.537948;Player2;pos;-1.9;0
1.547638;Player1;pos;1.9;0
1.547638;Player2;pos;-1.9;0
1.556796;Player1;pos;1.9;0
1.556796;Player2;pos;-1.9;0
1.56688;Player1;pos;1.9;0
1.56688;Player2;pos;-1.9;0
